"id","customer_id","shop_id","plan_id","contract_date","kimono_type","warranty_flag","total_amount","preparation_venue","preparation_date","user_id","remarks","created_at","updated_at"
"1","1","2","1","2025-11-22","振袖","1","124100","他店","2026-01-01",NULL,NULL,"2025-12-14 00:46:07","2025-12-14 00:46:07"
"2","2","2","10","2025-12-08","振袖","0","99000","両備","2026-01-01",NULL,NULL,"2025-12-14 00:46:08","2025-12-14 00:46:08"
"3","3","2","6","2025-12-04","振袖","0","235900","他店","2026-01-01",NULL,NULL,"2025-12-14 00:46:08","2025-12-14 00:46:08"
"4","4","2","10","2025-11-23","振袖","0","33000","ポンタ","2026-01-01",NULL,NULL,"2025-12-14 00:46:08","2025-12-14 00:46:08"
"5","5","2","6","2025-12-12","振袖","1","210650","アムボエル","2026-01-01",NULL,NULL,"2025-12-14 00:46:08","2025-12-14 00:46:08"
"6","6","2","5","2025-11-24","振袖","0","239800","プラザホテル","2026-01-01",NULL,NULL,"2025-12-14 00:46:09","2025-12-14 00:46:09"
"7","7","2","6","2025-11-22","振袖","1","269740","ポンタ","2026-01-01",NULL,NULL,"2025-12-14 00:46:09","2025-12-14 00:46:09"
"8","8","2","8","2025-11-22","振袖","0","83600",NULL,"2026-01-01",NULL,NULL,"2025-12-14 00:46:09","2025-12-14 00:46:09"
"9","9","2","6","2025-11-22","振袖","1","326700","フリーダム","2026-01-01",NULL,NULL,"2025-12-14 00:46:09","2025-12-14 00:46:09"
"10","10","1","4","2025-05-04","振袖","1","290700","他店","2027-01-10",NULL,NULL,"2025-12-14 00:46:10","2025-12-14 00:46:10"
"11","11","2","4","2025-11-30","振袖","1","323850","岡山ガーデン","2028-01-09",NULL,"前撮り時にお手持ちと2着着用予定。
→小物はレンタルのまま使用。

山本 遥様の妹","2025-12-14 00:46:10","2025-12-14 00:46:10"
"12","12","1","5","2025-08-15","振袖","1","0","倉敷会場","2029-01-07",NULL,NULL,"2025-12-14 00:46:10","2025-12-14 00:46:10"
"13","13","1","5","2025-08-16","振袖","1","0","岡山会場","2029-01-07",NULL,NULL,"2025-12-14 00:46:10","2025-12-14 00:46:10"
"14","14","1","5","2025-08-31","振袖","1","0","倉敷","2029-01-07",NULL,NULL,"2025-12-14 00:46:11","2025-12-14 00:46:11"
"15","15","1","5","2025-09-13","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:11","2025-12-14 00:46:11"
"16","16","1","5","2025-09-15","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:11","2025-12-14 00:46:11"
"17","17","1","4","2025-09-14","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:11","2025-12-14 00:46:11"
"18","18","1","4","2025-09-14","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:12","2025-12-14 00:46:12"
"19","19","1","4","2025-09-13","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:12","2025-12-14 00:46:12"
"20","20","1","4","2025-09-14","振袖","1","0","総社会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:12","2025-12-14 00:46:12"
"21","21","1","4","2025-09-13","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:12","2025-12-14 00:46:12"
"22","22","1","5","2025-08-09","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:12","2025-12-14 00:46:12"
"23","23","1","10","2025-08-09","振袖","0","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:13","2025-12-14 00:46:13"
"24","24","1","10","2025-08-09","振袖","0","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:13","2025-12-14 00:46:13"
"25","25","1","4","2025-08-09","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:13","2025-12-14 00:46:13"
"26","26","1","4","2025-08-11","振袖","1","0","総社","2028-01-09",NULL,NULL,"2025-12-14 00:46:13","2025-12-14 00:46:13"
"27","27","1","5","2025-08-09","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:14","2025-12-14 00:46:14"
"28","28","1","8","2025-08-11","振袖","0","0","岡山会場or美容室","2028-01-09",NULL,NULL,"2025-12-14 00:46:14","2025-12-14 00:46:14"
"29","29","1","4","2025-08-09","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:14","2025-12-14 00:46:14"
"30","30","1","5","2025-08-09","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:14","2025-12-14 00:46:14"
"31","31","1","5","2025-08-16","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:14","2025-12-14 00:46:14"
"32","32","1","4","2025-08-15","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:15","2025-12-14 00:46:15"
"33","33","1","10","2025-08-17","振袖","0","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:15","2025-12-14 00:46:15"
"34","34","1","5","2025-08-15","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:15","2025-12-14 00:46:15"
"35","35","1","4","2025-08-18","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:15","2025-12-14 00:46:15"
"36","36","1","4","2025-08-16","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:16","2025-12-14 00:46:16"
"37","37","1","5","2025-08-15","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:16","2025-12-14 00:46:16"
"38","38","1","5","2025-08-17","振袖","1","0","総社","2028-01-09",NULL,NULL,"2025-12-14 00:46:16","2025-12-14 00:46:16"
"39","39","1","5","2025-08-16","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:16","2025-12-14 00:46:16"
"40","40","1","5","2025-07-20","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:17","2025-12-14 00:46:17"
"41","41","1","5","2025-07-20","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:17","2025-12-14 00:46:17"
"42","42","1","4","2025-07-20","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:17","2025-12-14 00:46:17"
"43","43","1","10","2025-07-20","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:17","2025-12-14 00:46:17"
"44","44","1","5","2025-07-20","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:17","2025-12-14 00:46:17"
"45","45","1","4","2025-07-20","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:18","2025-12-14 00:46:18"
"46","46","1","4","2025-07-21","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:18","2025-12-14 00:46:18"
"47","47","1","4","2025-07-21","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:18","2025-12-14 00:46:18"
"48","48","1","4","2025-08-18","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:18","2025-12-14 00:46:18"
"49","49","1","3","2025-08-31","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:19","2025-12-14 00:46:19"
"50","50","1","4","2025-07-21","振袖","0","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:19","2025-12-14 00:46:19"
"51","51","1","4","2025-07-21","振袖","1","0","倉敷会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:19","2025-12-14 00:46:19"
"52","52","1","4","2025-07-20","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:19","2025-12-14 00:46:19"
"53","53","1","4","2025-07-06","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:19","2025-12-14 00:46:19"
"54","54","1","10","2025-06-23","振袖","0","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:20","2025-12-14 00:46:20"
"55","55","1","4","2025-06-21","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:20","2025-12-14 00:46:20"
"56","56","1","10","2025-06-07","振袖","1","0","後日連絡","2028-01-09",NULL,NULL,"2025-12-14 00:46:20","2025-12-14 00:46:20"
"57","57","1","10","2025-06-01","振袖","0","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:20","2025-12-14 00:46:20"
"58","58","1","5","2025-05-05","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:21","2025-12-14 00:46:21"
"59","59","1","4","2025-05-04","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:21","2025-12-14 00:46:21"
"60","60","1","5","2025-05-05","振袖","1","0","総社","2028-01-09",NULL,NULL,"2025-12-14 00:46:21","2025-12-14 00:46:21"
"61","61","1","4","2025-04-27","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:21","2025-12-14 00:46:21"
"62","62","1","4","2025-04-27","振袖","1","0","備前","2028-01-09",NULL,NULL,"2025-12-14 00:46:22","2025-12-14 00:46:22"
"63","63","1","10","2025-04-27","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:22","2025-12-14 00:46:22"
"64","64","1","10","2025-04-27","振袖","0","0","後日連絡","2028-01-09",NULL,NULL,"2025-12-14 00:46:22","2025-12-14 00:46:22"
"65","65","1","4","2025-04-27","振袖","0","0","岡山ｶﾞｰﾃﾞﾝ","2028-01-09",NULL,NULL,"2025-12-14 00:46:22","2025-12-14 00:46:22"
"66","66","1","4","2025-02-23","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:22","2025-12-14 00:46:22"
"67","67","1","5","2025-02-15","振袖","1","0","岡山ｶﾞｰﾃﾞﾝ","2028-01-09",NULL,NULL,"2025-12-14 00:46:23","2025-12-14 00:46:23"
"68","68","1","4","2025-01-26","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:23","2025-12-14 00:46:23"
"69","69","1","4","2025-01-24","振袖","1","0","後日連絡","2028-01-09",NULL,NULL,"2025-12-14 00:46:23","2025-12-14 00:46:23"
"70","70","1","4","2025-01-25","振袖","1","0","岡山店","2028-01-09",NULL,NULL,"2025-12-14 00:46:23","2025-12-14 00:46:23"
"71","71","1","4","2024-01-21","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:24","2025-12-14 00:46:24"
"72","72","1","4","2024-01-20","振袖","0","0","後日連絡","2028-01-09",NULL,NULL,"2025-12-14 00:46:24","2025-12-14 00:46:24"
"73","73","1","8","2025-09-15","振袖","0","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:24","2025-12-14 00:46:24"
"74","74","1","4","2025-11-09","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:24","2025-12-14 00:46:24"
"75","75","1","4","2025-11-03","振袖","1","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:25","2025-12-14 00:46:25"
"76","76","1","5","2025-11-02","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:25","2025-12-14 00:46:25"
"77","77","1","4","2025-11-02","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:25","2025-12-14 00:46:25"
"78","78","1","3","2025-11-01","振袖","0","0","総社","2028-01-09",NULL,NULL,"2025-12-14 00:46:25","2025-12-14 00:46:25"
"79","79","1","3","2025-10-25","振袖","0","0","他店","2028-01-09",NULL,NULL,"2025-12-14 00:46:25","2025-12-14 00:46:25"
"80","80","1","5","2025-10-25","振袖","1","0","ﾋﾟｶﾃﾞﾘｰﾊﾟｰｸ","2028-01-09",NULL,NULL,"2025-12-14 00:46:26","2025-12-14 00:46:26"
"81","81","1","5","2025-09-13","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:26","2025-12-14 00:46:26"
"82","82","1","5","2025-10-26","振袖","1","0","プラザ","2028-01-09",NULL,NULL,"2025-12-14 00:46:26","2025-12-14 00:46:26"
"83","83","1","5","2025-09-15","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:26","2025-12-14 00:46:26"
"84","84","1","5","2025-10-26","振袖","1","0","倉敷","2028-01-09",NULL,NULL,"2025-12-14 00:46:27","2025-12-14 00:46:27"
"85","85","1","5","2025-10-13","振袖","1","0","岡山会場","2028-01-09",NULL,NULL,"2025-12-14 00:46:27","2025-12-14 00:46:27"
